"","codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","person_1","person_1_l1","person_1_l2","person_1_l3","person_1_nat1","person_1_nat2","person_1_nat3","person_1_fluency1","person_1_fluency2","person_1_fluency3","person_2","person_2_l1","person_2_l2","person_2_l3","person_2_nat1","person_2_nat2","person_2_nat3","person_2_fluency1","person_2_fluency2","person_2_fluency3","par1_nat_chi_l1","par2_nat_chi_l1","parent_nat_chi_l1","par1_nat_chi_l2","par2_nat_chi_l2","parent_nat_chi_l2","par1_nat_chi_l3","par2_nat_chi_l3","parent_nat_chi_l3","par1_flu_chi_l1","par2_flu_chi_l1","parent_flu_chi_l1","par1_flu_chi_l2","par2_flu_chi_l2","parent_flu_chi_l2","par1_flu_chi_l3","par2_flu_chi_l3","parent_flu_chi_l3"
"61",8437,1,36,"ENGLISH","SPANISH","NO L3",0.803,0.197,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"62",8460,16,36,"ENGLISH","SPANISH","NO L3",0.901,0.099,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,1,1,1,0,0,0,0,0,999,4,4,8,2,3,5,NA,NA,999
"63",8466,17,36,"ENGLISH","MANDARIN","SPANISH",0.525,0.44,0.035,"MOTHER","MANDARIN","ENGLISH","SPANISH",1,1,0,4,4,NA,"FATHER","MANDARIN","ENGLISH",NA,1,0,NA,4,NA,NA,1,0,1,1,1,1,0,0,0,4,NA,4,4,4,8,NA,NA,NA
"64",8481,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"65",8488,NA,36,"ENGLISH","SPANISH","NO L3",1,0.01,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","GREEK",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"66",8489,NA,36,"ENGLISH","PORTUGUESE","NO L3",1,0.01,0,"MOTHER","ENGLISH","PORTUGUESE",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH","PORTUGUESE",NA,1,0,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"67",8498,9,36,"ENGLISH","ITALIAN","NO L3",0.995,0.005,0,"MOTHER","SPANISH","ENGLISH","ITALIAN",1,1,0,4,4,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"68",8506,NA,36,"ENGLISH","SPANISH","NO L3",0.965,0.035,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,1,NA,1,NA,NA,999
"69",8525,NA,36,"ENGLISH","SPANISH","MANDARIN",0.562,0.433,0.005,"MOTHER","SPANISH","ENGLISH","PASHTO",1,1,0,4,4,1,"FATHER","ENGLISH","PASHTO",NA,1,0,NA,4,4,NA,1,1,1,1,0,1,0,0,0,4,4,8,4,NA,4,NA,NA,NA
"70",8541,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH","JAPANESE",1,0,0,4,2,1,"FATHER","ENGLISH","FRENCH","SPANISH",1,0,0,4,3,1,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
