codenumber,newID,coder,exptr,pose,age,gender,Movement_Onset,Movement,Piece,Orientation,training,demoStart,demoEnd,testStart,FirstTouch,testEnd,robotExptr,robotChild,manipCheck,Naming,Goal,LTG,CRP,CRT
135 ,135 36,TS,, C5,36,F,390350,IM,2,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,397079,M,5,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,399374,M,2,5,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,400671,M,1,5,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,401621,IM,3,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,405184,M,4,4,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,411987,IM,3,1,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,411987,IM,4,1,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,MO,, C4,36,F,246602,M,5,1,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,253616,M,1,1,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,256248,M,2,1,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,258436,IM,5,1,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,259106,M,2,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,260002,M,1,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,261953,M,5,1,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,263236,M,4,4,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,263370,M,3,3,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,264815,M,3,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,265988,M,4,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,267378,M,3,3,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,267840,M,4,4,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,289817,M,4,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,295580,M,5,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,297524,M,3,6,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,MO,, C4,36,F,304446,IM,1,5,,204611,238307,239452,0,308629, B, O, c, 999, 0,0, 999, 999
135 ,135 36,TS,, C3,36,f,152154,M,2,1,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,152154,M,1,1,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,153453,IM,3,2,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,158817,IM,3,2,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,173748,IM,2,0,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,174449,IM,2,0,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,177020,IM,2,5,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,179788,IM,2,2,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,184553,M,1,1,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,187308,M,2,1,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,189985,M,3,3,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,189985,M,4,4,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C3,36,f,196492,M,4,6,,119874,146871,150050,150050,198910, B, O, c,, 1,161024,,
135 ,135 36,TS,, C2,36,F,87637,M,2,1,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
135 ,135 36,TS,, C2,36,F,90643,M,1,1,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
135 ,135 36,TS,, C2,36,F,101296,M,3,3,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
135 ,135 36,TS,, C2,36,F,101296,M,4,4,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
135 ,135 36,TS,, C2,36,F,106616,M,3,6,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
