"codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","parent_nat_chi_l1","parent_nat_chi_l2","parent_nat_chi_l3","parent_flu_chi_l1","parent_flu_chi_l2","parent_flu_chi_l3"
9029,0,36,"ENGLISH","SPANISH","NO L3",0.901,0.079,0.01,1,0,999,8,NA,999
8517,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8998,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8769,14,36,"ENGLISH","VIETNAMESE","NO L3",0.955,0.045,0,1,1,999,8,7,999
9169,NA,36,"ENGLISH","SPANISH","HEBREW",0.832,0.149,0.019,1,0,1,8,NA,6
9163,0,36,"ENGLISH","SPANISH","NO L3",0.785,0.215,0,1,0,999,8,NA,999
9095,14,36,"KOREAN","ENGLISH","NO L3",0.755,0.245,0,1,1,999,8,8,999
8725,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
9116,3,36,"ENGLISH","SPANISH","NO L3",0.975,0.01,0.005,1,0,999,8,3,999
8767,11,36,"ENGLISH","SPANISH","NO L3",0.695,0.305,0,1,0,999,8,NA,999
8866,0,36,"ENGLISH","SPANISH","NO L3",0.885,0.115,0,1,0,999,8,4,999
8890,0,36,"ENGLISH","SPANISH","NO L3",0.82,0.18,0,1,0,999,8,NA,999
8552,4,36,"ENGLISH","SPANISH","NO L3",0.965,0.035,0,1,0,999,8,NA,999
9080,3,36,"ENGLISH","SPANISH","NO L3",0.976,0.024,0,1,0,999,8,2,999
9162,0,36,"ENGLISH","SPANISH","NO L3",0.957,0.043,0,1,0,999,8,NA,999
8744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8987,0,36,"ENGLISH","JAPANESE","GERMAN",0.392,0.332,0.276,0,1,1,8,4,4
8987,0,36,"ENGLISH","JAPANESE","GERMAN",0.37,0.365,0.265,0,1,1,8,4,4
9128,23,36,"SPANISH","ENGLISH","NO L3",0.498,0.409,0.023,1,1,999,7,8,999
9056,NA,36,"ENGLISH","BULGARIAN","SPANISH",0.59,0.3,0.11,1,1,1,8,4,3
8736,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8748,0,36,"ENGLISH","SPANISH","NO L3",0.904,0.096,0,1,0,999,8,NA,999
8751,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8908,4,36,"ENGLISH","AFRIKAANS","NO L3",0.645,0.355,0,1,1,999,8,6,999
8971,6,36,"ENGLISH","FRENCH","NO L3",0.985,0.015,0,1,0,999,8,3,999
9034,3,36,"FRENCH","ENGLISH","SPANISH",0.524,0.468,0.009,1,1,0,7,8,2
9045,10,36,"FRENCH","ENGLISH","NO L3",0.525,0.475,0,1,1,999,5,8,999
9045,12,36,"FRENCH","ENGLISH","NO L3",0.525,0.475,0,1,1,999,5,8,999
8735,7,36,"ENGLISH","SPANISH","NO L3",0.88,0.12,0,1,0,999,8,1,999
8745,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8795,0,36,"ENGLISH","SPANISH","NO L3",0.98,0.02,0,1,0,999,8,NA,999
8805,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8921,13,36,"ENGLISH","SPANISH","INDONESIAN",0.881,0.07,0.05,1,0,0,8,NA,3
8985,13,36,"KOREAN","ENGLISH","NO L3",0.532,0.468,0,1,1,999,5,8,999
8989,7,36,"PORTUGUESE","ENGLISH","GERMAN",0.635,0.36,0.005,1,1,1,4,8,3
9052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
