"","codenumber","newID","coder","pose","age","gender","training","robotExptr","robotChild","manipCheck","Naming","CRP","CRT","M_count","TestDuration","DemoDuration","Goal","LatGoal","totalsteps","totalpairs","totaltriplets","totalquadruplets","totalquintuplets","test_lessthan_100per","test_lessthan_50per","LOOK_at_this_code"
"115",7042,"704260","MO","C4",60,"F",0,"W","R","c"," 999"," 999"," robot",18,53.482,45.478," yes",9.656,4,2,1,0,0,0,0,0
"116",7042,"704260","MO","C5",60,"F",0,"W","R","c"," 999"," 999"," robot",5,19.074,52.727," y",12.648,5,2,1,0,0,1,1,0
"117",7042,"704260","MO","CB2",60,"F",0,"999","B","999"," 999"," 999"," 999",11,59.806,0," 999",999,1,0,0,0,0,0,0,0
"118",7042,"704260","MO","CB3",60,"F",0,"999","B","999"," 999"," 999"," 999",11,59.806,0," 999",999,0,0,0,0,0,0,0,0
"119",7042,"704260","MO","CB4",60,"F",0,"999","B","999"," 999"," 999"," 999",11,59.806,0," 999",999,4,2,1,0,0,0,0,0
"120",7042,"704260","MO","CB5",60,"F",0,"999","B","999"," 999"," 999"," 999",11,59.806,0," 999",999,4,2,0,0,0,0,0,0
"121",7053,"705360","MO","C3",60,"M",0,"W","R","c","","","",2,24.545,27.651," no",999,1,0,0,0,0,1,0,0
"122",7053,"705360","MO","C4",60,"M",0,"W","R","c","","","",5,35.413,35.742," yes",16.196,4,1,0,0,0,1,0,0
"123",7053,"705360","MO","C5",60,"M",0,"W","R","c","","","",5,28.238,33.92," yes",17.917,5,0,0,0,0,1,0,0
"124",7053,"705360","MO","CB2",60,"M",0,"999","B","np"," 999"," 999"," 999",13,43.112,0," 999",999,1,0,0,0,0,0,0,0
"125",7053,"705360","MO","CB3",60,"M",0,"999","B","np"," 999"," 999"," 999",13,43.112,0," 999",999,2,0,0,0,0,0,0,0
"126",7053,"705360","MO","CB4",60,"M",0,"999","B","np"," 999"," 999"," 999",13,43.112,0," 999",999,1,0,0,0,0,0,0,0
"127",7053,"705360","MO","CB5",60,"M",0,"999","B","np"," 999"," 999"," 999",13,43.112,0," 999",999,2,0,0,0,0,0,0,0
"128",7060,"706060","MO","C3",60,"M",0,"W","R","c"," 999"," 999"," 999",8,20.06,27.619," no",999,2,0,0,0,0,1,0,0
"129",7060,"706060","MO","C4",60,"M",0,"W","R","c"," 999"," 999"," 999",8,30.804,31.741," yes",10.54,4,3,2,1,0,1,0,0
"130",7060,"706060","MO","C5",60,"M",0,"W","R","c"," 999"," 999"," 999",13,38.114,46.111," yes",23.46,5,2,0,0,0,1,0,0
"131",7060,"706060","MO","CB2",60,"M",0,"999","B","np"," 999"," 999"," 999",13,66.708,0," 999",999,1,0,0,0,0,0,0,0
"132",7060,"706060","MO","CB3",60,"M",0,"999","B","np"," 999"," 999"," 999",13,66.708,0," 999",999,0,0,0,0,0,0,0,0
"133",7060,"706060","MO","CB4",60,"M",0,"999","B","np"," 999"," 999"," 999",13,66.708,0," 999",999,2,0,0,0,0,0,0,0
"134",7060,"706060","MO","CB5",60,"M",0,"999","B","np"," 999"," 999"," 999",13,66.708,0," 999",999,1,0,0,0,0,0,0,0
"135",7065,"706560","MO","C3",60,"M",0,"O","B","c"," 999"," 999"," 999",6,28.875,31.126," yes",11.781,3,0,0,0,0,1,0,0
"136",7065,"706560","MO","C4",60,"M",0,"O","B","c"," 999"," 999"," 999",4,16.269,34.101," yes",12.276,4,3,2,1,0,1,1,0
"137",7065,"706560","MO","C5",60,"M",0,"O","B","c"," 999"," 999"," 999",5,17.985,39.82," yes",14.916,5,0,0,0,0,1,1,0
"138",7065,"706560","MO","CB2",60,"M",0,"999","R","np"," 999"," 999"," 999",0,22.803,0," 999",999,0,0,0,0,0,0,0,0
"139",7065,"706560","MO","CB3",60,"M",0,"999","R","np"," 999"," 999"," 999",0,22.803,0," 999",999,0,0,0,0,0,0,0,0
"140",7065,"706560","MO","CB4",60,"M",0,"999","R","np"," 999"," 999"," 999",0,22.803,0," 999",999,0,0,0,0,0,0,0,0
"141",7065,"706560","MO","CB5",60,"M",0,"999","R","np"," 999"," 999"," 999",0,22.803,0," 999",999,0,0,0,0,0,0,0,0
"142",7067,"706760","MO","C3",60,"F",0,"W","R","c","","","",6,25.412,34.222," yes",7.71,2,1,0,0,0,1,0,0
"143",7067,"706760","MO","C4",60,"F",0,"W","R","c","","","",4,16.651,39.274," yes",15.742,4,3,2,1,0,1,1,0
"144",7067,"706760","MO","C5",60,"F",0,"W","R","c","","","",10,38.886,81.901," yes",9.903,5,4,3,2,1,1,0,0
"145",7067,"706760","MO","CB2",60,"F",0,"999","B","np"," 999"," 999"," 999",0,38.046,0," 999",999,0,0,0,0,0,0,0,0
"146",7067,"706760","MO","CB3",60,"F",0,"999","B","np"," 999"," 999"," 999",0,38.046,0," 999",999,0,0,0,0,0,0,0,0
"147",7067,"706760","MO","CB4",60,"F",0,"999","B","np"," 999"," 999"," 999",0,38.046,0," 999",999,0,0,0,0,0,0,0,0
"148",7067,"706760","MO","CB5",60,"F",0,"999","B","np"," 999"," 999"," 999",0,38.046,0," 999",999,0,0,0,0,0,0,0,0
"149",7077,"707760","HM","C3",60,"M",0,"W","R","c","","","",3,18.289,30.998," no",999,2,0,0,0,0,1,0,0
"150",7077,"707760","HM","C4",60,"M",0,"W","R","c","","","",8,45.941,46.19," no",999,4,2,0,0,0,0,0,0
"151",7077,"707760","HM","C5",60,"M",0,"W","R","c","","","",35,140.927,40.887," yes",14.938,5,3,1,0,0,0,0,0
"152",7077,"707760","MO","CB2",60,"M",0,"999","B","np"," 999"," 999"," 999",0,52.972,0," 999",999,0,0,0,0,0,0,0,0
"153",7077,"707760","MO","CB3",60,"M",0,"999","B","np"," 999"," 999"," 999",0,52.972,0," 999",999,0,0,0,0,0,0,0,0
"154",7077,"707760","MO","CB4",60,"M",0,"999","B","np"," 999"," 999"," 999",0,52.972,0," 999",999,0,0,0,0,0,0,0,0
"155",7077,"707760","MO","CB5",60,"M",0,"999","B","np"," 999"," 999"," 999",0,52.972,0," 999",999,0,0,0,0,0,0,0,0
"156",7095,"709560","MO","C3",60,"F",0,"W","R","c","","","",12,32.834,32.642," no",999,2,1,0,0,0,0,0,0
"157",7095,"709560","MO","C4",60,"F",0,"W","R","c","","","",11,-19280.095,43.059," yes",999,2,1,0,0,0,1,1,1
"158",7095,"709560","MO","C5",60,"F",0,"W","R","c","","","",15,164.975,48.857," no",999,2,0,0,0,0,0,0,0
"159",7095,"709560","MO","CB2",60,"F",0,"999","B","np"," 999"," 999"," 999",0,35.428,0," 999",999,0,0,0,0,0,0,0,0
"160",7095,"709560","MO","CB3",60,"F",0,"999","B","np"," 999"," 999"," 999",0,35.428,0," 999",999,0,0,0,0,0,0,0,0
"161",7095,"709560","MO","CB4",60,"F",0,"999","B","np"," 999"," 999"," 999",0,35.428,0," 999",999,0,0,0,0,0,0,0,0
"162",7095,"709560","MO","CB5",60,"F",0,"999","B","np"," 999"," 999"," 999",0,35.428,0," 999",999,0,0,0,0,0,0,0,0
"163",7110,"711060","MO","C3",60,"M",0,"W","R","c","","","",6,29.278,24.642," yes",10.754,3,0,0,0,0,1,0,0
"164",7110,"711060","MO","C4",60,"M",0,"W","R","c","","","",7,33.459,29.388," no",999,2,0,0,0,0,1,0,0
"165",7110,"711060","MO","C5",60,"M",0,"W","R","c","","","",5,32.152,35.958," yes",17.263,5,1,0,0,0,1,0,0
"166",7110,"711060","MO","CB2",60,"M",0,"999","B","c"," 999"," 999"," 999",2,34.272,0," 999",999,0,0,0,0,0,0,0,0
"167",7110,"711060","MO","CB3",60,"M",0,"999","B","c"," 999"," 999"," 999",2,34.272,0," 999",999,0,0,0,0,0,0,0,0
"168",7110,"711060","MO","CB4",60,"M",0,"999","B","c"," 999"," 999"," 999",2,34.272,0," 999",999,0,0,0,0,0,0,0,0
"169",7110,"711060","MO","CB5",60,"M",0,"999","B","c"," 999"," 999"," 999",2,34.272,0," 999",999,0,0,0,0,0,0,0,0
"170",7146,"714660","MO","C3",60,"F",0,"W","R","c","","","",6,28.162,34.441," no",999,2,1,0,0,0,1,0,0
"171",7146,"714660","MO","C4",60,"F",0,"W","R","c","","","",8,40.452,42.502," no",999,2,0,0,0,0,0,0,0
"172",7146,"714660","MO","C5",60,"F",0,"W","R","c","","","",5,34.033,47.059," yes",19.73,5,4,3,2,1,1,0,0
"173",7146,"714660","MO","CB2",60,"F",0,"999","O","np"," 999"," 999"," 999",4,51.816,0," 999",999,0,0,0,0,0,0,0,0
"174",7146,"714660","MO","CB3",60,"F",0,"999","O","np"," 999"," 999"," 999",4,51.816,0," 999",999,0,0,0,0,0,0,0,0
"175",7146,"714660","MO","CB4",60,"F",0,"999","O","np"," 999"," 999"," 999",4,51.816,0," 999",999,0,0,0,0,0,0,0,0
"176",7146,"714660","MO","CB5",60,"F",0,"999","O","np"," 999"," 999"," 999",4,51.816,0," 999",999,0,0,0,0,0,0,0,0
"177",7148,"714860","MO","C3",60,"M",0,"O","B","c","","","",6,24.957,28.072," yes",11.831,3,2,1,0,0,1,0,0
"178",7148,"714860","MO","C4",60,"M",0,"O","B","c","","","",10,31.529,34.175," y",8.984,4,2,1,0,0,1,0,0
